t1	t2	type
Dutch bankers have to take an oath	I gather Dutch bankers don’t just have rules and regulations	0
what they declare is the following: they start their oath with saying “I declare that I will perform my duties as a banker with integrity and care, and I will consider carefully all the interests involved in the bank. The clients, the shareholders, the employees and the society in which the bank operates, and then there are five or six lines that continue	It’s meant to make a difference	0
I would give, as one example of an organisation that’s changed, the BBC actually, which now tends to be pretty truthful even if only because it wasn’t in the past.	I believe this is capable of reform if we introduce codes, if we stigmatise bad behaviour, if we set about within organisations making sure the codes are adhered to.	0
They don’t explain what ethical behaviour is,	I think the interesting thing is that banks do have codes of ethics, but to the extent they have them they are incredibly disappointing, if not total crap.	0
by and large a large chunk of the codes of ethics – as they’re supposedly called – actually protects shareholders and doesn’t protect customers.	I think the interesting thing is that banks do have codes of ethics, but to the extent they have them they are incredibly disappointing, if not total crap.	0
they aren’t really implemented in any sensible way within the institutions.	I think the interesting thing is that banks do have codes of ethics, but to the extent they have them they are incredibly disappointing, if not total crap.	0
you have to follow the rules, and you have to know the rules and you have to have the power to stick to the rules	Rules are what determine morality	0
If you have exemplars	that will help you to follow these rules	0
we might for instance want banks to split and to ring fence retail banking from high risk investment for instance	Some regulation might help	0
we shouldn’t be too optimistic there that we can develop regulation that makes banks change their cultures	I don’t think that there is an ethical regulation	0
There is no evidence that that’s going to work	we shouldn’t be too optimistic there that we can develop regulation that makes banks change their cultures	0
It doesn't presuppose a God	that presupposes a God, or at least a recording angel to see our misdeeds when we commit them.	1
what it requires is that at the top of an organisation, there are angels in a certain sense	It doesn't presuppose a God	0
angels are very difficult to select, but it has to start at the top	what it requires is that at the top of an organisation, there are angels in a certain sense	0
There is lots of research been done to how cultures are being changed; it’s very difficult, but one things is very clear: if there is something rotten at the top, there is no hope for reform at the bottom	angels are very difficult to select, but it has to start at the top	0
the investment banks because the global economy is big. If you want to cut the investment banking industry down to size, slash the global economy – it’s not a terribly great idea.	Barclay's is an institution that can't carry on.	1
You take someone like Bob Diamond, in other industries he would have been sent off for two years to run branch banking so he knew more about it, before becoming a group Chief Executive.	Investment banks historically haven’t invested in training their management, and that’s a real problem.	0
investment banks have high complexity	Investment Banks are just too dangerous now as environments.	0
we’re seeing this with the Barclays example	bosses don’t really know what’s going on	0
the very existence of these institutions which have so much power	we’re seeing this with the Barclays example	0
there’s a lack of investment in management training	Investment banks historically haven’t invested in training their management, and that’s a real problem.	2
that helps perpetuate a very nasty culture within some of the banks	there’s a lack of investment in management training	0
I do not believe in free, free, free market Capitalism, as if there’s absolutely no regulation whatsoever.	by hitching society’s wellbeing to free market Capitalism we’ve made a pact with the devil we can’t get out of	0
people are being incentivised to take huge amounts of risks, with my money.	There’s all sorts of things to be said for Capitalism, but Capitalism is also a dangerous thing	0
It can’t be shamed into good behaviour, or even punished into good behaviour.	corporations have no souls to damn and no bodies to kick.	0
I’m talking about the essential shell of a company that it is actually essentially amoral. It’s not a person is it, in the sense that you and I are. It doesn’t have a conscience; it can’t be shamed. that morality is bound to affect the way people behave who work for it	it is inevitable that the essential immorality of business will infect the way individuals behave who work for it	2
they’re going to try and serve its purposes	I’m talking about the essential shell of a company that it is actually essentially amoral. It’s not a person is it, in the sense that you and I are. It doesn’t have a conscience; it can’t be shamed. that morality is bound to affect the way people behave who work for it	0
the way in which our politicians defer to it and so forth, that’s the nature of the problem, it’s not the problem of business per se.	there is a problem with the way in which, specifically the City of London, has become so large in our economy, out of all proportion to the other things.	0
Investment banks have to become environments where the risk, all the risk, falls on the people within the institutions.	When cars were made safer, initially what happened what drivers just drove more dangerously because cars are very individualistic environments. Someone suggested that the only thing you could do was put a six inch nail in the steering wheel, pointing out at the driver – isn’t that what we have to do with investment banks?	0
someone will always find a way around a rule.	I think in order to change investment banks you have to actually focus on not just specific rules, which in the introduction was described as ‘box ticking’,	0
You have to enforce a culture that makes people think broadly about ethics; that has to come from both outside and inside.	I think in order to change investment banks you have to actually focus on not just specific rules, which in the introduction was described as ‘box ticking’,	0
