t1	t2	type
there are survivors, who have never experienced any form of recompense	Justice would be multi-facetted	0
these are elderly victims	they do need to be compensated for the crimes that were committed against them	0
Justice would be multi-facetted	justice would look like xxx	2
there is value in specific cases	Justice would be multi-facetted	0
there are many other survivors who do not currently have access to justice	they represent a class of people	0
Not to be in a funk when you are reading intelligence reports which suggest your Empire is under sustained assault	This is not all morally blameworthy	1
it wasn't	Not to be in a funk when you are reading intelligence reports which suggest your Empire is under sustained assault	0
a legal remedy exists	theres' nothing wrong with doing the British thing, owning up and paying up	0
It's not a question of the British thing	theres' nothing wrong with doing the British thing, owning up and paying up	1
it's the British thing of legally examining it, and rationally going through the evidence and finding complete proof, total proof that these people suffered injuries in such a place in such a way, and that the officers who commanded them, then the judges and the lawyers can say how far are these agents of the British state	It's not a question of the British thing	0
the British state knew what they were doing 	it's the British thing of legally examining it, and rationally going through the evidence and finding complete proof, total proof that these people suffered injuries in such a place in such a way, and that the officers who commanded them, then the judges and the lawyers can say how far are these agents of the British state	0
that goes to the point that actually this is why these cases are significant	they should be tried	0
they take us to questions we have still got to resolve.	they should be tried	0
There are problems in the education system, problems of underperformance, problems in the employment market	AM wasn't remotely convinced by Lee Jasper's argument that this would help black Britons today	0
that goes to the point that actually this is why these cases are significant	this is a live debate	0
it doesn't really answer why there was such outrage about it	it is a very partial view	0
if it's such an exploitative thing, there should not be outrage	it doesn't really answer why there was such outrage about it	0
it speaks well for the case that is being brought at the moment	it is a good point Clifford makes	0
CL personally as an English person feelS ashamed about the way the British behaved in these circumstances in Africa at that time	there was xxx much sympathy generally around the table for Lee Jasper's view that some form of Mdeba moment, as he put it, reconciliation or acknowledgment of the sins of the past is something that we desperately require to bring about an inclusive multi-racial community	2
CL personally as an English person feelS ashamed about the way the British behaved in these circumstances in Africa at that time	CL would feel better if the people who had suffered that injustice were compensated	0
if it's an emotional thing to do with blame and guilt, CL personally feels dishonoured by what was done in his name	CL would feel better if the people who had suffered that injustice were compensated	0
we do not have got a lot to apologize for	NL thinks / does not think we have got a lot to apologize for	2
It very much depends on the specific incident you are talking about and which side are you going to go on?	we do not have got a lot to apologize for	0
Kenya was a brutal war,	the government has acknowledged that they were ill treated in court	0
NL thinks / does not think we have got a lot to apologize for	NL thinks xxx	2
Kenya was a brutal war,	the violence that the Mau Mau perpetrated against settlers and particularly loyal Africans xxx	0
it very much depends which side you take it,	moral justice lies xxx when we look back at our imperial past	2
you are on the side of the nationalist movements which replaced the British Empire	it very much depends which side you take it,	0
AM is not in the same way	we are quite hung up about this	1
people do not think that	there's a streak that says, it was a pretty balanced account, there's nothing wrong with colonialism	1
MT didn't learn that in school, 40 years ago	For decades, our children have been taught nothing other than the Empire was uniquely dreadful	1
MT was told it was generally speaking a good thing	MT didn't learn that in school, 40 years ago	0
That's a caricature	people do not think that	0
For decades, our children have been taught nothing other than the Empire was uniquely dreadful	there's a streak that says, it was a pretty balanced account, there's nothing wrong with colonialism	1
MT was told it was generally speaking a good thing	there should be a window of apology and getting back to common sense.	0
Under the national curriculum, we were told the Empire was bad.	there should be a window of apology and getting back to common sense.	1
decided that this had taught an important lesson that the only way in which the British presence in Africa could be sustained was brutality	and therefore the only way forward was for Britain to withdraw	0
