t1	t2	type
MP's both.	Michael Portillo is a saver / a debtor	2
MP has some savings, and MP has some borrowings as well .	MP's both.	0
MP has some savings, and MP has some borrowings as well .	not all debt is bad	0
we do have a culture of profligacy and fecklessness	that does undermine the moral fibre of a country	0
a lot of people are making no provision for their future	they're having to rely on others	0
we do have a culture of profligacy and fecklessness	a lot of people are making no provision for their future	0
a lot of people are making no provision for their future	they’re descending personally into financial chaos	0
CL's not in debt at the moment	Michael Portillo is a saver / a debtor	2
it made CL feel very uncomfortable in a sort of moral kind of way	there is/ is not a moral distinction between the two	2
there is a deep moral instinct which says that the whole business of lending and borrowing is a highly moral area, or, if you like, a dangerous moral area	it made CL feel very uncomfortable in a sort of moral kind of way	0
since the Council of Nicaea, in 325, made usury illegal, and it stayed that way for about 1,200 years in Europe, there have been moral questions surrounding borrowing and lending	there is a deep moral instinct which says that the whole business of lending and borrowing is a highly moral area, or, if you like, a dangerous moral area	0
that position was non-judgmentalism	the State has taken a moral position	2
terrible harm it’s done	the State has taken a moral position	0
terrible harm it’s done	they do need help	0
It’s created a lot of victims who now need help themselves, and who sometimes go on to create other victims through crime	terrible harm it’s done	0
It’s created a lot of victims who now need help themselves, and who sometimes go on to create other victims through crime	that help should be very carefully calibrated, to restore the capacity for independence and personal responsibility	0
in the media there is quite a lot of blame	there’s quite a substantial element of blame of the people who are so called ‘undeserving’, even if Neil doesn't accept the term	0
in the media there is quite a lot of blame	we need to think about how to describe the problem, and understand the problem accurately	0
It’s been done to them, not done by them	we don’t want to blame them for that	0
that’s not right	we need to think about how to describe the problem, and understand the problem accurately	0
that’s not right	it is ‘scroungers	1
The way Neil would describe a lot of the people Neil's met who have been long term unemployed is kind of defeated, kind of depressed	that’s not right	0
the Department of Work and Pensions did a survey of people who have been on benefits a couple of years ago	it is true	0
they found that 11% of people who were on benefits said that they felt fully justified being on benefits and have discovered that life without the added complication of work has much to recommend it	you’ve got about 30% of claimants who’ve got some sort of attitudinal problem	0
let’s not just call them ‘scroungers’	it is ‘scroungers	1
they are somehow or another demoralized and broken	The way Neil would describe a lot of the people Neil's met who have been long term unemployed is kind of defeated, kind of depressed	2
that does seem to correspond to the reality	we don’t want to blame them for that	0
Dutch bankers have to take an oath	I gather Dutch bankers don’t just have rules and regulations	0
what they declare is the following: they start their oath with saying “I declare that I will perform my duties as a banker with integrity and care, and I will consider carefully all the interests involved in the bank. The clients, the shareholders, the employees and the society in which the bank operates, and then there are five or six lines that continue	It’s meant to make a difference	0
the big issue here is where the boundary should lie between the family and the State; how much the State should be allowed to, interfere is value laden, intervene.	there should be a careful balancing act of freedom.	0
Liberal societies have often known that the family can be a nexus for forms of unequal opportunity	there should be a careful balancing act of freedom.	0
Liberal societies have often known that the family can be a nexus for forms of unequal opportunity	we should be very circumspect in the way we intervene in families,	0
if you would like to consider the concept of non domination, freedom as non domination – the non interference on arbitrary grounds in people’s important decisions – then we have to be careful that when we do intervene it’s to increase total non domination. Which would mean not interfering simply because people are mad, sad and bad, but because they are imposing domination on their neighbours	we should be very circumspect in the way we intervene in families,	0
It’s not overwhelming	the urge to get a job is overwhelming	1
it’s obvious	It’s not overwhelming	0
if there were twice as many jobs available, unemployment would fall drastically	It’s not overwhelming	1
It does happen	that’s begging a lot of questions	1
you can see the curves moving together	It does happen	0
They go up, they go down	you can see the curves moving together	0
If there were twice as many jobs available than there are now, unemployment would fall drastically	if there were twice as many jobs available, unemployment would fall drastically	2
that’s begging a lot of questions	If there were twice as many jobs available than there are now, unemployment would fall drastically	1
there’s a short-term relationship, but no necessarily a long term one	They go up, they go down	0
there is a no utopia	JB didn’t refer to utopia	0
people like KM who believe as a utopia, are precisely the ones who have led to bad policies and bad results.	there is a no utopia	0
It is the illusion that there is a utopia that has led to the idea that you can give people money for not working, and that will cause no perverse results	people like KM who believe as a utopia, are precisely the ones who have led to bad policies and bad results.	0
I would give, as one example of an organisation that’s changed, the BBC actually, which now tends to be pretty truthful even if only because it wasn’t in the past.	I believe this is capable of reform if we introduce codes, if we stigmatise bad behaviour, if we set about within organisations making sure the codes are adhered to.	0
They don’t explain what ethical behaviour is,	I think the interesting thing is that banks do have codes of ethics, but to the extent they have them they are incredibly disappointing, if not total crap.	0
by and large a large chunk of the codes of ethics – as they’re supposedly called – actually protects shareholders and doesn’t protect customers.	I think the interesting thing is that banks do have codes of ethics, but to the extent they have them they are incredibly disappointing, if not total crap.	0
they aren’t really implemented in any sensible way within the institutions.	I think the interesting thing is that banks do have codes of ethics, but to the extent they have them they are incredibly disappointing, if not total crap.	0
there are survivors, who have never experienced any form of recompense	Justice would be multi-facetted	0
these are elderly victims	they do need to be compensated for the crimes that were committed against them	0
Justice would be multi-facetted	justice would look like xxx	2
there is value in specific cases	Justice would be multi-facetted	0
there are many other survivors who do not currently have access to justice	they represent a class of people	0
If somebody’s not willing to reward you by borrowing your savings, there’s no point doing the saving.	it’s, as it were, intellectually honest to kind of play out the virtues of saving, as opposed to borrowing, when really, unless the two kind of balance out in an economy, there’s no point saving	0
the wrong investments are made	things start going wrong when you depress the price of money	0
The government and the Bank of England have decided, alone among the goods, that money should have a price determined sort of Soviet style, from the centre	what we have is an artificial suppression of the price of money	0
Not to be in a funk when you are reading intelligence reports which suggest your Empire is under sustained assault	This is not all morally blameworthy	1
it wasn't	Not to be in a funk when you are reading intelligence reports which suggest your Empire is under sustained assault	0
a legal remedy exists	theres' nothing wrong with doing the British thing, owning up and paying up	0
It's not a question of the British thing	theres' nothing wrong with doing the British thing, owning up and paying up	1
it's the British thing of legally examining it, and rationally going through the evidence and finding complete proof, total proof that these people suffered injuries in such a place in such a way, and that the officers who commanded them, then the judges and the lawyers can say how far are these agents of the British state	It's not a question of the British thing	0
the British state knew what they were doing 	it's the British thing of legally examining it, and rationally going through the evidence and finding complete proof, total proof that these people suffered injuries in such a place in such a way, and that the officers who commanded them, then the judges and the lawyers can say how far are these agents of the British state	0
that goes to the point that actually this is why these cases are significant	they should be tried	0
they take us to questions we have still got to resolve.	they should be tried	0
There are problems in the education system, problems of underperformance, problems in the employment market	AM wasn't remotely convinced by Lee Jasper's argument that this would help black Britons today	0
that goes to the point that actually this is why these cases are significant	this is a live debate	0
most people put more effort into choosing the coffee shop that they buy their coffee from than which bank they put their life savings in	MT overestimates the role of ideas in these matters	0
that is a case of some paternalism	They’re completely negligent in this area	0
MT overestimates that	MT has got to look at the underlying economic incentives	0
MT overestimates the role of ideas in these matters	MT overestimates that	2
They're negligent	They’re completely negligent in this area	2
their deposits are guaranteed	They're negligent	0
it doesn't really answer why there was such outrage about it	it is a very partial view	0
if it's such an exploitative thing, there should not be outrage	it doesn't really answer why there was such outrage about it	0
it speaks well for the case that is being brought at the moment	it is a good point Clifford makes	0
CL personally as an English person feelS ashamed about the way the British behaved in these circumstances in Africa at that time	there was xxx much sympathy generally around the table for Lee Jasper's view that some form of Mdeba moment, as he put it, reconciliation or acknowledgment of the sins of the past is something that we desperately require to bring about an inclusive multi-racial community	2
CL personally as an English person feelS ashamed about the way the British behaved in these circumstances in Africa at that time	CL would feel better if the people who had suffered that injustice were compensated	0
if it's an emotional thing to do with blame and guilt, CL personally feels dishonoured by what was done in his name	CL would feel better if the people who had suffered that injustice were compensated	0
In Hammersmith, Fulham, Kensington, Chelsea and Westminster, which is a tri-borough consortium, they were given the target of 1720 families out of the 120,000	a number of these families exist who do cause problems to the children who grow up in them, and the people around them.	0
that's not a specific example	That’s a rather specific example	1
Birmingham was given a target of 4180	that's not a specific example	0
we will find troubled families	if Ruth keeps going like that, we won’t find any at all	1
debt is morally neutral in the sense that it can be good to be in debt	both money and debt are essentially morally neutral	0
people are taking on too much debt because xxx	there is too much debt because xxx	2
it’s a very odd idea	somehow bankers want people to get into excessive debt	1
the answer is that there’s too much debt for the same reason that there are too many unmarried mothers, and for the same reason that you get an overproduction of sheep	people are taking on too much debt because xxx	2
that is the moral way of getting people to pay their rent on time	it is far better, a better form of intervention, to provide decent jobs and decent wages, affordable housing	0
it is far better, a better form of intervention, to provide decent jobs and decent wages, affordable housing	the areas of their life you intervene on, in order to bring about change are xxx	2
we’re in a position now where there isn’t enough housing, and where actually some of the parents suggest if you’re agoraphobic you can’t go out to pay rent.	it is far better, a better form of intervention, to provide decent jobs and decent wages, affordable housing	1
lending money at interest isn't shameful	the reason Dante confined them to the lowest circle of hell is because they made a big profit at the expense of very poor people, which was widely regarded as shameful	1
that takes away most of the ability of society to use future income to fund an unaffordable product right now	lending money at interest isn't shameful	0
you have to follow the rules, and you have to know the rules and you have to have the power to stick to the rules	Rules are what determine morality	0
If you have exemplars	that will help you to follow these rules	0
we might for instance want banks to split and to ring fence retail banking from high risk investment for instance	Some regulation might help	0
we shouldn’t be too optimistic there that we can develop regulation that makes banks change their cultures	I don’t think that there is an ethical regulation	0
There is no evidence that that’s going to work	we shouldn’t be too optimistic there that we can develop regulation that makes banks change their cultures	0
