t1	t2	type
MP's both.	Michael Portillo is a saver / a debtor	2
MP has some savings, and MP has some borrowings as well .	MP's both.	0
MP has some savings, and MP has some borrowings as well .	not all debt is bad	0
we do have a culture of profligacy and fecklessness	that does undermine the moral fibre of a country	0
a lot of people are making no provision for their future	they're having to rely on others	0
we do have a culture of profligacy and fecklessness	a lot of people are making no provision for their future	0
a lot of people are making no provision for their future	they’re descending personally into financial chaos	0
CL's not in debt at the moment	Michael Portillo is a saver / a debtor	2
it made CL feel very uncomfortable in a sort of moral kind of way	there is/ is not a moral distinction between the two	2
there is a deep moral instinct which says that the whole business of lending and borrowing is a highly moral area, or, if you like, a dangerous moral area	it made CL feel very uncomfortable in a sort of moral kind of way	0
since the Council of Nicaea, in 325, made usury illegal, and it stayed that way for about 1,200 years in Europe, there have been moral questions surrounding borrowing and lending	there is a deep moral instinct which says that the whole business of lending and borrowing is a highly moral area, or, if you like, a dangerous moral area	0
If somebody’s not willing to reward you by borrowing your savings, there’s no point doing the saving.	it’s, as it were, intellectually honest to kind of play out the virtues of saving, as opposed to borrowing, when really, unless the two kind of balance out in an economy, there’s no point saving	0
the wrong investments are made	things start going wrong when you depress the price of money	0
The government and the Bank of England have decided, alone among the goods, that money should have a price determined sort of Soviet style, from the centre	what we have is an artificial suppression of the price of money	0
most people put more effort into choosing the coffee shop that they buy their coffee from than which bank they put their life savings in	MT overestimates the role of ideas in these matters	0
that is a case of some paternalism	They’re completely negligent in this area	0
MT overestimates that	MT has got to look at the underlying economic incentives	0
MT overestimates the role of ideas in these matters	MT overestimates that	2
They're negligent	They’re completely negligent in this area	2
their deposits are guaranteed	They're negligent	0
debt is morally neutral in the sense that it can be good to be in debt	both money and debt are essentially morally neutral	0
people are taking on too much debt because xxx	there is too much debt because xxx	2
it’s a very odd idea	somehow bankers want people to get into excessive debt	1
the answer is that there’s too much debt for the same reason that there are too many unmarried mothers, and for the same reason that you get an overproduction of sheep	people are taking on too much debt because xxx	2
lending money at interest isn't shameful	the reason Dante confined them to the lowest circle of hell is because they made a big profit at the expense of very poor people, which was widely regarded as shameful	1
that takes away most of the ability of society to use future income to fund an unaffordable product right now	lending money at interest isn't shameful	0
And if you suppress it, then in fact you're in a situation where the wealth that you look like you're generating is fool’s gold, not real wealth at all.	both sides of the transaction suffer as a result of ignoring moral hazard	0
a country can even say, “We’re going to go bankrupt. It’s humiliating. We’ll do it. We’ll start again. We’ll grow	you start again with some very strict rules and a stigma.	0
In general, society does	xxx is who suffers most from the lack of moral hazard, the perceived lack of moral hazard	2
society benefits / suffers	In general, society does	2
both sides of the transaction suffer as a result of ignoring moral hazard	society benefits / suffers	2
you can be in a situation where you say, “We will let you write off your debts, without incurring moral hazard.”	And if you suppress it, then in fact you're in a situation where the wealth that you look like you're generating is fool’s gold, not real wealth at all.	1
bankruptcy used to be shameful	you can be in a situation where you say, “We will let you write off your debts, without incurring moral hazard.”	0
Otherwise you’ve got slavery.	there is something in it	0
if you get into debt, and you can never get out of it, that’s slavery	Otherwise you’ve got slavery.	0
they're in debt	it’s almost as though people won’t take account of the fact they’ve got absolutely no money	0
JL's not financing lifestyles that people can't afford	JL's actually financing lifestyles that people can’t actually afford	1
What JL's financing is the ability of people to smooth out the peaks and troughs of their income and expenditure	JL's not financing lifestyles that people can't afford	0
JL's actually financing lifestyles that people can’t actually afford	JL is actually financing consumer spending, as opposed to investment	0
you’ve got 14.2 million people who are self-employed, lots of people working shifts, working part-time, relying on commissions and bonuses.	What JL's financing is the ability of people to smooth out the peaks and troughs of their income and expenditure	0
Their monthly incomes vary enormously	What JL's financing is the ability of people to smooth out the peaks and troughs of their income and expenditure	0
their core bills don’t	what JL's doing is providing small loans, for short periods of time, to help them smooth out their family income	0
they’re not going to do it on their own	ND must stop attacking them and actually suggest that we want the rich to do something productive	1
they will only do it if they are regulated	they’re not going to do it on their own	0
it’s part of an industrial strategy for them to do that	they will only do it if they are regulated	0
It’s a bit like saying wearing a jumper is moral	that’s a little odd	0
It’s a virtue	thrift is a perfectly sensible thing to do	0
the value of your savings is likely to be periodically inflated away	There’s no point saving money in Britain, unless you're already quite rich	0
the government guarantees your welfare in old age	you don’t need it, anyway	0
it depends on the environment	one of the reasons people aren’t thrifty in Britain is because they benefit from all sorts of guarantees	0
one of the groups of people who were kind of interested in thrift and prudence were early productive capitalists, who established the capitalist system	There’s no point saving money in Britain, unless you're already quite rich	1
since the rise of consumer capitalism we’ve had a very, very different kind of message	one of the groups of people who were kind of interested in thrift and prudence were early productive capitalists, who established the capitalist system	0
buy now, pay later, is the kind of core morality of consumer capitalism	the fundamental message of consumer capitalism is one which says, “Forget deferred gratification. Forget endeavour. Buy it now.”	2
if the best way of making money is to encourage people to take out debts that they can’t afford, the best way to make money is to encourage people to take out mortgages they can’t afford, then that is what capitalism has reverted to	we have a system dominated not by productive capitalism but by finance capitalism and consumer capitalism	0
It can’t just sit there	money’s got to find somewhere	0
they are pushing	the push is coming from the people with the money	2
they make more money out of it	they are pushing	0
we have a system dominated not by productive capitalism but by finance capitalism and consumer capitalism	it seems to be odd that JW talks about culture so much, and doesn’t refer to the cultural norms that are created by the dominance of those models	0
it would not be in the interest of banks to lend money to people who can’t afford to repay it. Unless the banks knew that someone else was going to meet their problem	if the best way of making money is to encourage people to take out debts that they can’t afford, the best way to make money is to encourage people to take out mortgages they can’t afford, then that is what capitalism has reverted to	1
money’s got to find somewhere	it would not be in the interest of banks to lend money to people who can’t afford to repay it. Unless the banks knew that someone else was going to meet their problem	2
It’s going to have to find someone who will borrow it	the push is coming from the people with the money	0
if you’ve got money you can get more money	they make more money out of it	0
That is the essentially unjust element in this whole transaction	if you’ve got money you can get more money	2
many people are unable to make ends meet and are having to take debt out at huge levels of interest.	in the current situation both savers and borrowers are doing extremely badly	0
in the current situation both savers and borrowers are doing extremely badly	what this needs is not simply us putting moral blame on one side or the other, but actually putting moral blame on a set of economic policies and political decisions that have led to credit liberalisation.	0
the banks are so terrified that if they crystallise the debts their balance sheets will be insupportable.	not many people have been driven out of the houses on which they can’t afford to maintain their payments	0
interest rates are being kept really low, in order that borrowers won’t bear the consequences of their foolish borrowing.	borrowers should not be doing badly	0
interest rates are being kept really low, in order that borrowers won’t bear the consequences of their foolish borrowing.	people have run up lots of debt, are paying very low rates of interest, and they’re able to continue to live in houses that they can’t afford to pay for.	0
They get nothing out of it	There’s no value for a banker in being prudent anymore	0
Prudent/imprudent, it makes no difference to people lending their money to banks	There’s no value for a banker in being prudent anymore	0
They face the same risk	Prudent/imprudent, it makes no difference to people lending their money to banks	0
their risk is really with the government, and whether the government will intervene	They face the same risk	0
It gives a very strong impression that you can borrow with impunity	we should not just assume that people aren’t going to be suckers for such advertising	0
debt is necessary for the economy	we need social norms and regulations to discourage dangerous debt.	0
CF's got no savings	CF's definitely more in debt	0
CF's definitely more in debt	in terms of the morality of this, we have to be careful of stigmatising debt and remember the creative aspect of credit	0
CF is worried about this debate leading to the pathologising of feckless behaviour by individuals, rather than a more balanced discussion.	in terms of the morality of this, we have to be careful of stigmatising debt and remember the creative aspect of credit	0
it can be dangerous, and particularly for the most vulnerable	borrowing can be a wise choice for individuals	2
what SR doesn't want to see is a return necessarily to debtors’ prison	SR should not be so worried about restoring stigma	1
quite broadly in society, some of the problems we have is that behaviours which are self-destructive, and also anti-social, are not stigmatised	SR should not be so worried about restoring stigma	0
every single man, woman and child in this country is now £240,000 in debt	we aren't even facing up to the actual problem	0
if you add up all the debt, from all the sectors in the economy, we’re actually having 10 times our annual income	£55,000 of debt	1
if you add up all the debt, from all the sectors in the economy, we’re actually having 10 times our annual income	every single man, woman and child in this country is now £240,000 in debt	0
if you add up all the debt, from all the sectors in the economy, we’re actually having 10 times our annual income	if you just take the taxpayers, that is half a million pounds of debt that we all have	0
if you just take the taxpayers, that is half a million pounds of debt that we all have	it’s not necessarily solely a moral question	0
we’re here to discuss the morality	that has become incredibly dangerous and insupportable	0
there's no morality in that	people should not have to pay their debts	1
what the Jubilee Debt Campaign says is that this isn’t simply a matter of individual morality	there's no morality in that	2
Debt is used time and again as a set of economic decisions, and political decisions, to achieve certain things in society	what the Jubilee Debt Campaign says is that this isn’t simply a matter of individual morality	0
Debt is used time and again as a set of economic decisions, and political decisions, to achieve certain things in society	very often what high levels of debt can mean, and especially when the debt is on very unjust terms, is a massive redistribution of wealth in society, from the poorest to the richest.	0
We have indeed required those products to have very large warnings on them, telling people about their salt and fat content	you’d not use that argument to explain the reason, for example, why we have an increase in obesity, and claim that the supermarkets are exploiting people’s desire for food	1
every few years JL's industry finds a new way of preying on people’s inability really to understand complex financial products	The constant need for government to regulate JL'S industry	0
Pensions mis-selling for example, hidden credit card charges	The constant need for government to regulate JL'S industry	0
we don’t allow them to say things which are misleading	We don’t allow fatty products to say they're healthy	0
