t1	t2	type
that position was non-judgmentalism	the State has taken a moral position	2
terrible harm it’s done	the State has taken a moral position	0
terrible harm it’s done	they do need help	0
It’s created a lot of victims who now need help themselves, and who sometimes go on to create other victims through crime	terrible harm it’s done	0
It’s created a lot of victims who now need help themselves, and who sometimes go on to create other victims through crime	that help should be very carefully calibrated, to restore the capacity for independence and personal responsibility	0
the big issue here is where the boundary should lie between the family and the State; how much the State should be allowed to, interfere is value laden, intervene.	there should be a careful balancing act of freedom.	0
Liberal societies have often known that the family can be a nexus for forms of unequal opportunity	there should be a careful balancing act of freedom.	0
Liberal societies have often known that the family can be a nexus for forms of unequal opportunity	we should be very circumspect in the way we intervene in families,	0
if you would like to consider the concept of non domination, freedom as non domination – the non interference on arbitrary grounds in people’s important decisions – then we have to be careful that when we do intervene it’s to increase total non domination. Which would mean not interfering simply because people are mad, sad and bad, but because they are imposing domination on their neighbours	we should be very circumspect in the way we intervene in families,	0
In Hammersmith, Fulham, Kensington, Chelsea and Westminster, which is a tri-borough consortium, they were given the target of 1720 families out of the 120,000	a number of these families exist who do cause problems to the children who grow up in them, and the people around them.	0
that's not a specific example	That’s a rather specific example	1
Birmingham was given a target of 4180	that's not a specific example	0
we will find troubled families	if Ruth keeps going like that, we won’t find any at all	1
that is the moral way of getting people to pay their rent on time	it is far better, a better form of intervention, to provide decent jobs and decent wages, affordable housing	0
it is far better, a better form of intervention, to provide decent jobs and decent wages, affordable housing	the areas of their life you intervene on, in order to bring about change are xxx	2
we’re in a position now where there isn’t enough housing, and where actually some of the parents suggest if you’re agoraphobic you can’t go out to pay rent.	it is far better, a better form of intervention, to provide decent jobs and decent wages, affordable housing	1
if you listen both to Government spokespeople and the Prime Minister himself plus a lot of the media, you would think that all of the troubled families that they’re talking about are in a lot of trouble.	we’ve got ourselves into a complete mess in defining who troubled families are	0
they are on the edges or actually committing crime	there are families that are in trouble	0
there’s parents with mental health problems who have lost their ability to care for their children	there are two other brackets that I would bring within the troubled family scenario	0
they’ve never had it	The third category would be the families who really have just lost their ability to parent for their children	0
The third category would be the families who really have just lost their ability to parent for their children	they need help getting back on track	0
it’s right to tackle the problem of troubled families	it is / is not right in its strategy for tackling it	2
we’ve got ourselves into a complete mess in defining who troubled families are	the Government is / is not right in its definition of the problem	2
There are a lot of criminal activities	if you listen both to Government spokespeople and the Prime Minister himself plus a lot of the media, you would think that all of the troubled families that they’re talking about are in a lot of trouble.	0
we’ve got ourselves into a complete mess in defining who troubled families are	Helen would take, and Family Action, a much broader view about who troubled families actually are	0
there are families that are in trouble	Helen would take, and Family Action, a much broader view about who troubled families actually are	0
we have a huge problem with unemployment	No parent in the family is in work	0
there are 5 million people on the waiting list for social housing	Family lives in overcrowded housing	0
that’s sometimes related not being in work	the household has a low income	0
the household has a low income	the family cannot afford a number of food and clothing items	0
if child doesn’t go to school, if it’s truanting, it gets into crime, it doesn’t do well at school, it doesn’t achieve, it doesn’t get a job, and so on	poverty is the cause of multiple disadvantage/ poverty is the result of multiple disadvantage	2
These things lead to poverty	Then that leads to poverty, and not to mention family breakdown	2
These things lead to poverty	poverty is the result of social breakdown, not the cause	0
that is what the Government’s trying to get hold of	if child doesn’t go to school, if it’s truanting, it gets into crime, it doesn’t do well at school, it doesn’t achieve, it doesn’t get a job, and so on	2
that’s coming down as a cohort effect	No parent in the family is in work	0
there is nothing wrong with what she’s doing	If Ruth's not wholly opposed to it, she finds xxx so objectionable that Louise Casey’s offering	2
What is wrong with what she is doing is that she is presenting that tiny minority of troubled families as typical of the poor	there is nothing wrong with what she’s doing	1
the problem of social justice is these 120,000 families	what we need to do to deal with poverty is to deal with problem families	0
What we need to do to deal with poverty is to do something about the 2 million children who live in poverty	what we need to do to deal with poverty is to deal with problem families	1
It’s what Ruth would think if Ruth lived next door	where they are also a problem to those who live around them, it would be a good idea to intervene robustly	0
she is trying to do something about children- the whole scheme is trying to do that	What we need to do to deal with poverty is to do something about the 2 million children who live in poverty	1
it is not a numbers game	What we need to do to deal with poverty is to do something about the 2 million children who live in poverty	1
Ruth has an objection to an intervention on the basis of people being poor, as opposed to an intervention on the basis of children genuinely being at risk of neglect or harm	morally,Ruth has / has not any objection to this intervention	2
where they are also a problem to those who live around them, it would be a good idea to intervene robustly	Ruth has an objection to an intervention on the basis of people being poor, as opposed to an intervention on the basis of children genuinely being at risk of neglect or harm	1
we’re rather over inclined - and this is also a moral issue – to focus on the anti social behaviour of the poor, rather than the antisocial behaviour of the rich: the money laundering, the rate fixing, the tax evasion	where they are also a problem to those who live around them, it would be a good idea to intervene robustly	1
there are families with problems	the idea of ‘the’ problem family is a useful invention that’s been used again and again to police the poor, and to place the blame for social problems on individuals	0
Ruth doesn't like the definition of troubled families, or anything much about all of this	Ruth quarrelled with the statistics	0
this is a moral programme	Melanie doesn’t want to get bogged down into a discussion about a figure	0
it wants to get people in those households into school, into work, out of crime. Changing the patterns of, sometimes, a lifetime	The aim of the Government is very clear; looking at family households that are multiply disadvantaged	0
the figures are not a moral issue	the figures are a moral issue	1
there is a very important moral issue here,	the figures are a moral issue	0
the Government is deliberately using a figure which is about multiple deprivation	there is a very important moral issue here,	0
to do that, and to present the problem of poverty as one of dysfunctional families who are antisocial and need to have their behaviour changed, is itself a moral issue	there is a very important moral issue here,	0
and it’s fundamentally immoral	to do that, and to present the problem of poverty as one of dysfunctional families who are antisocial and need to have their behaviour changed, is itself a moral issue	0
there are families that are so troubled that family intervention programmes are appropriate.	there are chaotic families that place an unreasonable burden on the State	2
this figure of 120,000 which has already been floated several times in this discussion, is entirely spurious	Ruth doesn't like the definition of troubled families, or anything much about all of this	0
It is not a family where children are on the threshold of being taken away	this figure of 120,000 which has already been floated several times in this discussion, is entirely spurious	0
It is a very, very rough estimate of the number of families in 2004 which had 5 of 7 deprivations: no one is in work; overcrowded housing; parents have no qualifications; mother has mental health problems; at least one parent has long standing limiting illness, disability or infirmity; the family has a low income; and the family cannot afford a number of food and clothing items	this figure of 120,000 which has already been floated several times in this discussion, is entirely spurious	0
It is a very, very rough estimate of the number of families in 2004 which had 5 of 7 deprivations: no one is in work; overcrowded housing; parents have no qualifications; mother has mental health problems; at least one parent has long standing limiting illness, disability or infirmity; the family has a low income; and the family cannot afford a number of food and clothing items	they are not social work clients	0
The aim of the Government is very clear; looking at family households that are multiply disadvantaged	It is a very, very rough estimate of the number of families in 2004 which had 5 of 7 deprivations: no one is in work; overcrowded housing; parents have no qualifications; mother has mental health problems; at least one parent has long standing limiting illness, disability or infirmity; the family has a low income; and the family cannot afford a number of food and clothing items	0
that really is outrageous	it’s particularly morally repugnant for the State to tell us who should and shouldn’t have children	2
these families, and the problems they face, have many causes, complicated, springing from social structures, cultural attitudes, all sorts of things	this emphasis on the individual moral shortcomings of parents is overly simplistic and doesn’t help	0
A kind of parental determinism emerges that’s overly fatalistic as well	this emphasis on the individual moral shortcomings of parents is overly simplistic and doesn’t help	0
A kind of parental determinism emerges that’s overly fatalistic as well	it’s particularly morally repugnant for the State to tell us who should and shouldn’t have children	0
it is because they’re disruptive / because they’re disadvantaged	problem families are problem families because they cause problems/ they face problems	2
we have to look at these families as families that need a lot of help,	the initiative is ‘troubled families’, not ‘troublesome families’.	0
they’ll be the first, often, to admit they need a lot of help.	the initiative is ‘troubled families’, not ‘troublesome families’.	0
the initiative is ‘troubled families’, not ‘troublesome families’.	it is because they’re disruptive / because they’re disadvantaged	2
whether you call them problem, or troubled, the question still remains.	it is because they’re disruptive / because they’re disadvantaged	2
We’ve had a welfare system now for decades that says, “We will pay you more to be on benefits than to take work.”	there are factors around these families that mean that they have been let down by Government, by structures, by systems – say the welfare system.	0
So these factors matter.	there are factors around these families that mean that they have been let down by Government, by structures, by systems – say the welfare system.	2
So it’s as if the State imposes on people the notion of the good life, rather than as citizens ourselves we work through what the good life is.	part of the problem is the distinction people have drawn between the State and society.	0
There are two different views about State intervention.	So it’s as if the State imposes on people the notion of the good life, rather than as citizens ourselves we work through what the good life is.	0
if you haven’t had that template then you can’t	it doesn’t actually answer the problem;	0
The poor don’t lack that any more than the rich.	you do have to have certain rudiments of knowledge about yourself, about structures, and how you live with other people.	1
xxx is the template the Government is seeking to replicate	what is the good life? is the question	2
part of the problem is the distinction people have drawn between the State and society.	xxx is the template the Government is seeking to replicate	2
It’s fine to say to people, “You can decide what the good life is”, absolutely; autonomy, fine.	if you haven’t had that template then you can’t	0
that’s what’s trying to be addressed here.	it doesn’t actually answer the problem;	0
We’re talking about dysfunctional families	The poor don’t lack that any more than the rich.	0
they can afford to sort it out themselves	The poor don’t lack that any more than the rich.	1
they can afford to sort it out themselves	the issue is one of poverty, and resources.	0
the issue is not one of poverty and resources	the issue is one of poverty, and resources.	1
there are many poor people who don’t live like this	the issue is not one of poverty and resources	0
what AM's surely ignoring, and what so much of their discussion this evening has ignored, is that there are deserts around our country where there is just serial misery and hopelessness, and despair, and dysfunctionality	the issue is not one of poverty and resources	0
these are largely poor areas	what AM's surely ignoring, and what so much of their discussion this evening has ignored, is that there are deserts around our country where there is just serial misery and hopelessness, and despair, and dysfunctionality	0
the way people respond, people’s agency, is inevitably in the context of the lives in which they live	to concentrate simply on the individual, and his or her response, as opposed to the context of their lives, is immoral.	0
what she was really talking about is forcing people to adapt to their conditions of poverty, rather than challenging those conditions or creating conditions where moral behaviour could better flourish.	she was helping them manage their resources.	0
this means nothing	what she was really talking about is forcing people to adapt to their conditions of poverty, rather than challenging those conditions or creating conditions where moral behaviour could better flourish.	1
