t1	t2	type
in the media there is quite a lot of blame	there’s quite a substantial element of blame of the people who are so called ‘undeserving’, even if Neil doesn't accept the term	0
in the media there is quite a lot of blame	we need to think about how to describe the problem, and understand the problem accurately	0
It’s been done to them, not done by them	we don’t want to blame them for that	0
that’s not right	we need to think about how to describe the problem, and understand the problem accurately	0
that’s not right	it is ‘scroungers	1
The way Neil would describe a lot of the people Neil's met who have been long term unemployed is kind of defeated, kind of depressed	that’s not right	0
the Department of Work and Pensions did a survey of people who have been on benefits a couple of years ago	it is true	0
they found that 11% of people who were on benefits said that they felt fully justified being on benefits and have discovered that life without the added complication of work has much to recommend it	you’ve got about 30% of claimants who’ve got some sort of attitudinal problem	0
let’s not just call them ‘scroungers’	it is ‘scroungers	1
they are somehow or another demoralized and broken	The way Neil would describe a lot of the people Neil's met who have been long term unemployed is kind of defeated, kind of depressed	2
that does seem to correspond to the reality	we don’t want to blame them for that	0
It’s not overwhelming	the urge to get a job is overwhelming	1
it’s obvious	It’s not overwhelming	0
if there were twice as many jobs available, unemployment would fall drastically	It’s not overwhelming	1
It does happen	that’s begging a lot of questions	1
you can see the curves moving together	It does happen	0
They go up, they go down	you can see the curves moving together	0
If there were twice as many jobs available than there are now, unemployment would fall drastically	if there were twice as many jobs available, unemployment would fall drastically	2
that’s begging a lot of questions	If there were twice as many jobs available than there are now, unemployment would fall drastically	1
there’s a short-term relationship, but no necessarily a long term one	They go up, they go down	0
there is a no utopia	JB didn’t refer to utopia	0
people like KM who believe as a utopia, are precisely the ones who have led to bad policies and bad results.	there is a no utopia	0
It is the illusion that there is a utopia that has led to the idea that you can give people money for not working, and that will cause no perverse results	people like KM who believe as a utopia, are precisely the ones who have led to bad policies and bad results.	0
it’s compulsion	It’s not incentives	0
it’s requirement	It’s not incentives	0
we are just providing the work that people want to do	incentives and compulsions are irrelevant.	0
the desire to work is innate	incentives and compulsions are irrelevant.	0
It’s creative	the desire to work is innate	0
It’s not incentives	incentives are irrelevant	1
the desire to work is innate	people would require the social context in which work happens	0
they enjoy that	the desire to work is innate	2
they want the relationships that go with work	people would require the social context in which work happens	0
JB doesn't know whether it is innate or not	the desire to work is innate	2
JB's no idea whether it’s innate	JB doesn't know whether it is innate or not	2
it is not	the desire to work is innate	1
abolishing housing benefit for under 25s will lead to homelessness, hidden homelessness, sofa surfing, staying with the wrong people	one of the big initiatives that Romin's looking at, is the troubled families initiative; this idea that this hardcore of really difficult families that we need to look at	0
abolishing housing benefit for under 25s will lead to homelessness, hidden homelessness, sofa surfing, staying with the wrong people	Romin is overstating Romin's case, and at the same time treating young people as though they won’t cope with living in a garret, bit of poverty but I’ll get by	1
abolishing housing benefit for under 25s will lead to staying with your mates	abolishing housing benefit for under 25s will lead to homelessness, hidden homelessness, sofa surfing, staying with the wrong people	2
it's not innate	we have to bribe people	0
it's not innate	we have to starve people	0
it's not innate	people can be tempted out of work	0
If you’re going to work very hard for 8 hours a day, 5 days a week and you’re going to make only £1 more than you would have made on benefits the urge to get a job is not as strong as it would be if you’d otherwise be penniless	people can be tempted out of work	0
Before this recession, and forget whether Cameron is motivated by cuts or not, there was an ever increasingly welfare dependency	a lot of young people sort of, had a sense of entitlement, which wasn't very healthy	0
That’s not good	young people should go out and get something from the world, contribute something to the world. Instead of saying “Why can’t I get a well paid job? Why can’t I get a house?”	0
they should really be angry with their government for not addressing the underlying social policy issues	they shouldn’t be angry with young people who are making use of the welfare state	0
that’s fair enough	what we need is more houses	0
Claire wants to encourage a society that treats people as grown ups; that allows them to grow up	eighteen plus're kind of overgrown children	1
it sort of goes back to the hypothetical couple living with their parents that Cameron spoke about in his speech on Monday. This couple who will say to Romin that I’m very angry that Romin sees these other people	That’s not good	1
that’s overstating it	If we don’t give more benefits, more welfare, we’re going to end up with homeless young people everywhere, destitution and so on	1
what we need is more houses	If we don’t give more benefits, more welfare, we’re going to end up with homeless young people everywhere, destitution and so on	2
It is a safety net	the welfare state, as it is, is a safety net / is a trap	2
JB likens it to a mouse trap which has a rather stale piece of cheese in it	it is also very much a trap	0
it’s not particularly attractive	JB likens it to a mouse trap which has a rather stale piece of cheese in it	0
That’s how JB regards it	JB likens it to a mouse trap which has a rather stale piece of cheese in it	2
there’s certainly an argument to look at re-introducing a contributory principle back in to welfare. Something like the French system where if you lose your job you get 70% of your previous wage for a limited period	xxx is the sort of conditionality; or sort of duties RS would expect people on benefit to undertake, in return for that support	2
People move, in a life course, move in and out of work	there’s certainly an argument to look at re-introducing a contributory principle back in to welfare. Something like the French system where if you lose your job you get 70% of your previous wage for a limited period	0
the young guy wasn’t turning up to work on time	the young guy’d lost his job at Tesco	0
This guy’s just a scrounger, he needs a kick up the backside to get going	the young guy was smoking a lot of spliff	0
If you took the people around this table this evening, and you took away all of our contacts, our qualifications our great jobs and so on, we’d still have more internal resources than that guy	we need to think about, how we have a more paternalist system for people like that	0
We’d still be much better off	If you took the people around this table this evening, and you took away all of our contacts, our qualifications our great jobs and so on, we’d still have more internal resources than that guy	2
there has not been a transfer	there’s been a transfer	1
what’s happened is, there’s been a huge and permanent increase in the number of people who are unemployed	there has not been a transfer	0
we were just looking at the claimant count, a very narrow measure of unemployment	We kidded ourselves during the last decade that we’d solved the problem of unemployment,	0
If you look at the wider measure of all the people on benefits: the people on incapacity benefit, the people on income support as well. Actually, even all the way through the years of the debt fuelled boom we had about 5 million people effectively workless	We need to think much harder about how we can make the benefit system, the whole welfare state much more activating, how we can help to get those people into work	0
the young guy was smoking a lot of spliff	the young guy wasn’t turning up to work on time	0
we need to think about, how we have a more paternalist system for people like that	This guy’s just a scrounger, he needs a kick up the backside to get going	1
we’ve had the benefits, whatever they are, from our family of being set up in such a way that we understand the world of working and how to get on in life	We’d still be much better off	0
the reality is that in the last ten or twenty years there’s been a massive transfer of wealth from the poor to the rich, and from the young to the old, and that what Neil's really trying to do is to justify that by blaming the poor for their position	If you took the people around this table this evening, and you took away all of our contacts, our qualifications our great jobs and so on, we’d still have more internal resources than that guy	1
Neil's not trying to justify anything	the reality is that in the last ten or twenty years there’s been a massive transfer of wealth from the poor to the rich, and from the young to the old, and that what Neil's really trying to do is to justify that by blaming the poor for their position	1
there’s been a transfer	the reality is that in the last ten or twenty years there’s been a massive transfer of wealth from the poor to the rich, and from the young to the old, and that what Neil's really trying to do is to justify that by blaming the poor for their position	2
the sense of individual self-reliance, and standing on your own two feet and doing everything to avoid taking money from the state has not been chipped away at by the growth of welfarism	it’s a problem that the sense of individual self-reliance, and standing on your own two feet and actually doing everything to avoid taking money from the state because you want to be politically independent and morally and individually independent has been sapped away at, chipped away at by the growth of welfarsim	1
the growth of what Claire calls ‘welfarism’ is to do with, firstly the disappearance of so many skilled middle income jobs; and secondly due to the failure to build social housing	the sense of individual self-reliance, and standing on your own two feet and doing everything to avoid taking money from the state has not been chipped away at by the growth of welfarism	0
the growth of what Claire calls ‘welfarism’ is to do with, firstly the disappearance of so many skilled middle income jobs; and secondly due to the failure to build social housing	‘The Daily Telegraph’ pointed out there are 23 people chasing every job in this country	0
‘The Daily Telegraph’ pointed out there are 23 people chasing every job in this country	The official unemployment figure, again Neil has a point on this, is understating the real crisis	0
